,Category,Message
47,1,"Fair enough, anything going on?"
48,1,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
49,1,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
50,1,What you thinked about me. First time you saw me in class.
51,1,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
52,1,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
53,1,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
55,1,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
57,1,"Sorry, I'll call later in meeting."
58,1,Tell where you reached
59,1,Yes..gauti and sehwag out of odi series.
60,1,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
61,1,Ha ha ha good joke. Girls are situation seekers.
62,1,Its a part of checking IQ
63,1,"Sorry my roommates took forever, it ok if I come by now?"
64,1,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
66,1,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
69,1,I plane to give on this month end.
70,1,Wah lucky man... Then can save money... Hee...
71,1,Finished class where are you.
72,1,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
73,1,K..k:)where are you?how did you performed?
74,1,U can call me now...
75,1,I am waiting machan. Call me once you free.
76,1,Thats cool. i am a gentleman and will treat you with dignity and respect.
77,1,I like you peoples very much:) but am very shy pa.
78,1,Does not operate after  &lt;#&gt;  or what
79,1,Its not the same here. Still looking for a job. How much do Ta's earn there.
80,1,"Sorry, I'll call later"
81,1,K. Did you call me just now ah? 
82,1,Ok i am on the way to home hi hi
83,1,You will be in the place of that man
84,1,Yup next stop.
85,1,"I call you later, don't have network. If urgnt, sms me."
86,1,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
87,1,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
88,1,I'm really not up to it still tonight babe
89,1,"Ela kano.,il download, come wen ur free.."
90,1,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!
91,1,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
92,1,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
94,1,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
96,1,Watching telugu movie..wat abt u?
97,1,i see. When we finish we have loads of loans to pay
98,1,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham"""
99,1,Please don't text me anymore. I have nothing else to say.
100,1,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
101,1,I'm still looking for a car to buy. And have not gone 4the driving test yet.
102,1,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
103,1,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
104,1,Umma my life and vava umma love you lot dear
105,1,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
106,1,"Aight, I'll hit you up when I get some cash"
107,1,How would my ip address test that considering my computer isn't a minecraft server
108,1,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
109,1,Dont worry. I guess he's busy.
110,1,What is the plural of the noun research?
111,1,Going for dinner.msg you after.
112,1,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
114,1,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
115,1,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
117,1,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
118,1,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
121,1,here is my new address -apples&pairs&all that malarky
123,1,I am going to sao mu today. Will be done only at 12 
124,1,ÌÏ predict wat time Ì_'ll finish buying?
125,1,"Good stuff, will do."
126,1,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
127,1,Are you there in room.
128,1,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
129,1,K..k:)how much does it cost?
130,1,I'm home.
131,1,"Dear, will call Tmorrow.pls accomodate."
132,1,First answer my question.
135,1,I only haf msn. It's yijue@hotmail.com
136,1,He is there. You call and meet him
137,1,No no. I will check all rooms befor activities
139,1,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...
140,1,"K, text me when you're on the way"
141,1,"Sir, Waiting for your mail."
142,1,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"""
143,1,I know you are. Can you pls open the back?
144,1,Yes see ya not on the dot
145,1,Whats the staff name who is taking class for us?
147,1,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
148,1,K..i deleted my contact that why?
149,1,Sindu got job in birla soft ..
150,1,The wine is flowing and i'm i have nevering..
151,1,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
152,1,Ok... Ur typical reply...
153,1,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
154,1,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
155,1,Aaooooright are you at work?
156,1,I'm leaving my house now...
157,1,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
160,1,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
161,1,New car and house for my parents.:)i have only new job in hand:)
162,1,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
165,1,I place all ur points on e cultures module already.
167,1,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
168,1,Great escape. I fancy the bridge but needs her lager. See you tomo 
169,1,Yes :)it completely in out of form:)clark also utter waste.
170,1,"Sir, I need AXIS BANK account no and bank address."
171,1,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
172,1,What time you coming down later? 
173,1,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
174,1,"Well, i'm gonna finish my bath now. Have a good...fine night."
175,1,Let me know when you've got the money so carlos can make the call
176,1,U still going to the mall?
177,1,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
178,1,Text her. If she doesnt reply let me know so i can have her log in
179,1,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
180,1,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
181,1,Lol no. U can trust me.
182,1,ok. I am a gentleman and will treat you with dignity and respect.
183,1,"He will, you guys close?"
184,1,Going on nothing great.bye
185,1,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
186,1,"Haha awesome, be there in a minute"
188,1,Have you got Xmas radio times. If not i will get it now
189,1,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
191,1,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
192,1,Hi :)finally i completed the course:)
193,1,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
194,1,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
195,1,Gud mrng dear hav a nice day
196,1,Did u got that persons story
197,1,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
198,1,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
199,1,"Found it, ENC  &lt;#&gt; , where you at?"
200,1,I sent you  &lt;#&gt;  bucks
201,1,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
202,1,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
203,1,Goodmorning sleeping ga.
204,1,U call me alter at 11 ok.
205,1,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...
206,1,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
207,1,"Aight yo, dats straight dogg"
208,1,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
209,1,Both :) i shoot big loads so get ready!
210,1,"What's up bruv, hope you had a great break. Do have a rewarding semester."
211,1,Home so we can always chat
212,1,K:)k:)good:)study well.
213,1,Yup... How Ì_ noe leh...
214,1,Sounds great! Are you home now?
215,1,Finally the match heading towards draw as your prediction.
216,1,Tired. I haven't slept well the past few nights.
217,1,Easy ah?sen got selected means its good..
218,1,I have to take exam with march 3
219,1,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
220,1,Ok no prob. Take ur time.
221,1,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
222,1,"Sorry, I'll call later"
223,1,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
225,1,Would really appreciate if you call me. Just need someone to talk to.
227,1,Hey company elama po mudyadhu.
228,1,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
229,1,Dear good morning now only i am up
230,1,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
231,1,Dear we are going to our rubber place
232,1,"Sorry battery died, yeah I'm here"
233,1,Yes:)here tv is always available in work place..
235,1,I have printed it oh. So  &lt;#&gt;  come upstairs
236,1,Or ill be a little closer like at the bus stop on the same street
237,1,Where are you?when wil you reach here?
238,1,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
240,1,Tomarrow final hearing on my laptop case so i cant.
241,1,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
242,1,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
243,1,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
244,1,U don't remember that old commercial?
245,1,Too late. I said i have the website. I didn't i have or dont have the slippers
246,1,I asked you to call him now ok
247,1,Kallis wont bat in 2nd innings.
248,1,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
250,1,Ranjith cal drpd Deeraj and deepak 5min hold
251,1,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
252,1,What you doing?how are you?
253,1,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
254,1,"I'm back, lemme know when you're ready"
255,1,Don't necessarily expect it to be done before you get back though because I'm just now headin out
256,1,Mmm so yummy babe ... Nice jolt to the suzy
257,1,Where are you lover ? I need you ...
259,1,IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?
260,1,Yup
261,1,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
262,1,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
264,1,Why you Dint come with us.
265,1,Same. Wana plan a trip sometme then
266,1,"Not sure yet, still trying to get a hold of him"
268,1,The evo. I just had to download flash. Jealous?
270,1,"Come to mu, we're sorting out our narcotics situation"
271,1,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
273,1,"Usf I guess, might as well take 1 car"
274,1,No objection. My bf not coming.
275,1,Thanx...
276,1,Tell rob to mack his gf in the theater
277,1,"Awesome, I'll see you in a bit"
278,1,Just sent it. So what type of food do you like?
279,1,All done? All handed in? Celebrations in full swing yet?
280,1,You got called a tool?
281,1,\Wen u miss someone
282,1,Ok. I asked for money how far
283,1,Okie...
284,1,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
285,1,"K, I might come by tonight then if my class lets out early"
286,1,Ok..
287,1,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
288,1,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
289,1,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
290,1,Hey you told your name to gautham ah?
291,1,Haf u found him? I feel so stupid da v cam was working.
292,1,Oops. 4 got that bit.
293,1,Are you this much buzy
294,1,I accidentally deleted the message. Resend please.
296,1,Unless it's a situation where YOU GO GURL would be more appropriate
297,1,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
298,1,I cant pick the phone right now. Pls send a message
299,1,Need a coffee run tomo?Can't believe it's that time of week already
300,1,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
301,1,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
302,1,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
303,1,He is a womdarfull actor
305,1,Yup... From what i remb... I think should be can book... 
306,1,Jos ask if u wana meet up?
307,1,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
309,1,Where are the garage keys? They aren't on the bookshelf
310,1,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
312,1,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
313,1,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
314,1,You made my day. Do have a great day too.
315,1,K.k:)advance happy pongal.
316,1,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
317,1,"Not really dude, have no friends i'm afraid :("
319,1,"Coffee cake, i guess..."
320,1,"Merry Christmas to you too babe, i love ya *kisses*"
321,1,Hey... Why dont we just go watch x men and have lunch... Haha 
322,1,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
323,1,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
324,1,No problem. How are you doing?
325,1,No calls..messages..missed calls
326,1,Hi da:)how is the todays class?
327,1,"I'd say that's a good sign but, well, you know my track record at reading women"
328,1,"Cool, text me when you're parked"
329,1,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
330,1,K.k:)apo k.good movie.
331,1,Maybe i could get book out tomo then return it immediately ..? Or something.
333,1,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
335,1,"Ta-Daaaaa! I am home babe, are you still up ?"
336,1,Cool. So how come you havent been wined and dined before?
337,1,Just sleeping..and surfing
338,1,"Sorry, I'll call later"
339,1,U calling me right? Call my hand phone...
340,1,Ok that's great thanx a lot.
341,1,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
342,1,Where u been hiding stranger?
343,1,Am not interested to do like that.
344,1,My sister cleared two round in birla soft yesterday.
345,1,Gudnite....tc...practice going on
346,1,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
347,1,One small prestige problem now.
349,1,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
350,1,"Nah can't help you there, I've never had an iphone"
351,1,If you're not in my car in an hour and a half I'm going apeshit
352,1,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
353,1,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
354,1,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
355,1,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
358,1,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
359,1,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
360,1,Ha ha cool cool chikku chikku:-):-DB-)
361,1,Oh ok no prob..
362,1,Check audrey's status right now
363,1,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
364,1,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
365,1,Well i know Z will take care of me. So no worries.
368,1,Wat uniform? In where get?
369,1,"Cool, text me when you're ready"
370,1,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
371,1,I will spoil you in bed as well :)
372,1,I'm going for bath will msg you next  &lt;#&gt;  min..
373,1,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
375,1,Can you say what happen
376,1,You could have seen me..i did't recognise you Face.:)
377,1,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
378,1,Keep my payasam there if rinu brings
379,1,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
380,1,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
381,1,"Yeah sure, give me a couple minutes to track down my wallet"
382,1,Hey leave it. not a big deal:-) take care.
383,1,Hey i will be late ah... Meet you at 945+
385,1,It took Mr owl 3 licks
386,1,Customer place i will call you.
387,1,Mm that time you dont like fun
389,1,Yup having my lunch buffet now.. U eat already?
390,1,Huh so late... Fr dinner?
391,1,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
392,1,Morning only i can ok.
393,1,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
394,1,Pick you up bout 7.30ish? What time are  and that going?
395,1,From here after The performance award is calculated every two month.not for current one month period..
396,1,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
397,1,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated."
398,1,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
399,1,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
401,1,Dear how is chechi. Did you talk to her
402,1,The hair cream has not been shipped.
403,1,None of that's happening til you get here though
404,1,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
405,1,"Haha get used to driving to usf man, I know a lot of stoners"
406,1,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
407,1,Hello! Good week? Fancy a drink or something later?
408,1,Headin towards busetop
409,1,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
410,1,Come by our room at some point so we can iron out the plan for this weekend
411,1,Cos i want it to be your thing
412,1,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... "
413,1,Bring home some Wendy =D
415,1,Whatsup there. Dont u want to sleep
416,1,Alright i have a new goal now
418,1,"Alright, I'll head out in a few minutes, text me where to meet you"
420,1,Yes:)from last week itself i'm taking live call.
422,1,Siva is in hostel aha:-.
424,1,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..
425,1,Ok. She'll be ok. I guess
426,1,aathi..where are you dear..
427,1,Any pain on urination any thing else?
428,1,7 at esplanade.. Do Ì_ mind giving me a lift cos i got no car today..
429,1,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
430,1,At home watching tv lor.
431,1,Does she usually take fifteen fucking minutes to respond to a yes or no question
433,1,Booked ticket for pongal?
434,1,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th
435,1,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
436,1,"Ask g or iouri, I've told the story like ten times already"
437,1,How long does applebees fucking take
438,1,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
439,1,But i have to. I like to have love and arrange.
440,1,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
441,1,You were supposed to wake ME up &gt;:(
442,1,Oic... I saw him too but i tot he din c me... I found a group liao...
443,1,"Sorry, I'll call later"
444,1,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS
445,1,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
446,1,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. "
447,1,I wont get concentration dear you know you are my mind and everything :-)
448,1,LOL ... Have you made plans for new years?
449,1,10 min later k...
450,1,hanks lotsly!
451,1,Thanks for this hope you had a good day today
452,1,K:)k:)what are detail you want to transfer?acc no enough?
453,1,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
455,1,Si si. I think ill go make those oreo truffles.
456,1,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONåÕT LIKE ME LIKE THAT SO DONåÕT WORRY."
457,1,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
458,1,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
459,1,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
460,1,Where did u go? My phone is gonna die you have to stay in here
461,1,Great. Never been better. Each day gives even more reasons to thank God
463,1,"Sorry, I'll call later ok bye"
464,1,Ok i am on the way to railway
465,1,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
466,1,They don't put that stuff on the roads to keep it from getting slippery over there?
467,1,When are you going to ride your bike?
468,1,"Yup, no need. I'll jus wait 4 e rain 2 stop."
469,1,There are many company. Tell me the language.
471,1,"How long has it been since you screamed, princess?"
472,1,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
474,1,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:)
475,1,Ok I'm gonna head up to usf in like fifteen minutes
476,1,Love you aathi..love u lot..
477,1,Tension ah?what machi?any problem?
478,1,"K, can I pick up another 8th when you're done?"
479,1,When're you guys getting back? G said you were thinking about not staying for mcr
480,1,"Almost there, see u in a sec"
481,1,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
482,1,Watching tv lor...
483,1,Thank you baby! I cant wait to taste the real thing...
484,1,You should change your fb to jaykwon thuglyfe falconerf
485,1,If we win its really no 1 side for long time.
487,1,Dear reached railway. What happen to you
488,1,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
489,1,I think i've fixed it can you send a test message?
490,1,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card"
492,1,"Sorry,in meeting I'll call later"
493,1,What class of  &lt;#&gt;  reunion?
494,1,Are you free now?can i call now?
495,1,Got meh... When?
496,1,Nope... Think i will go for it on monday... Sorry i replied so late
